userId,locationId,rating,timestamp
1,1,4.5 ,1260759144
2,2,4.5 ,1260759179
3,3,4.5 ,1260759182
4,4,5.0 ,1260759185
5,5,5.0 ,1260759205
6,6,4.5 ,1260759151
7,7,4.5 ,1260759187
1,8,4.5 ,1260759148
9,9,4.5 ,1260759125
12,10,4.5 ,1260759131
11,11,4.5 ,1260759135
10,12,4.0 ,1260759203
7,13,4.5 ,1260759191
5,14,4.5 ,1260759139
2,15,4.5 ,1260759194
1,16,4.5 ,1260759198
1,17,5.0 ,1260759108
8,18,4.5 ,1260759113
3,19,4.5 ,1260759200
10,20,4.5 ,1260759117
8,21,4.5 ,835355493
12,22,4.5 ,835355681
3,23,4.5 ,835355604
4,24,4.5 ,835355552
7,25,4.5 ,835355586
2,26,4.5 ,835356031
2,27,4.5 ,835355749
4,28,4.5 ,835355532
9,29,5.0 ,835356016
12,30,4.5 ,835355395
10,31,4.5 ,835355441
5,32,4.5 ,835355493
6,33,4.5 ,835355441
10,34,5.0 ,835355710
5,35,4.5 ,835355511
6,36,4.5 ,835355664
7,37,5.0 ,835355511
1,38,4.5 ,835355840
5,39,4.5 ,835355749
10,40,4.0 ,835355552
11,41,5.0 ,835355664
7,42,5.0 ,835355896
12,43,4.5 ,835355511
1,44,4.5 ,835355681
5,45,4.5 ,835355697
6,46,4.5 ,835355586
10,47,4.5 ,835355767
3,48,4.5 ,835355779
9,49,4.5 ,835355492
11,50,4.5 ,835355395
8,51,4.5 ,835355532
4,52,4.5 ,835356044
1,53,4.5 ,835355551
4,54,5.0 ,835355918
5,55,4.5 ,835355492
6,56,4.5 ,835355441
7,57,4.5 ,835355697
1,58,4.5 ,835355628
9,59,4.5 ,835355749
12,60,5.0 ,835355604
60,20,2.5,835355604
60,34,4.0 ,835355605
60,46,5.0 ,835355607
